計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他,,,
2013/04/01,01,34,,,21,8,,,,,
2013/04/01,02,31,,,19,8,,,,,
2013/04/01,03,33,,,20,8,,,,,
2013/04/01,04,33,,,21,8,,,,,
2013/04/01,05,29,,,19,8,,,,,
2013/04/01,06,37,,,16,8,,,,,
2013/04/01,07,59,,,30,12,,,,,
2013/04/01,08,91,,,42,29,,,,,
2013/04/01,09,92,,,46,36,,,,,
2013/04/01,10,89,,,42,40,,,,,
2013/04/01,11,83,,,37,40,,,,,
2013/04/01,12,84,,,34,39,,,,,
2013/04/01,13,75,,,34,40,,,,,
2013/04/01,14,75,,,23,39,,,,,
2013/04/01,15,77,,,30,40,,,,,
2013/04/01,16,74,,,27,39,,,,,
2013/04/01,17,59,,,28,32,,,,,
2013/04/01,18,45,,,25,19,,,,,
2013/04/01,19,38,,,19,15,,,,,
2013/04/01,20,33,,,20,10,,,,,
2013/04/01,21,31,,,20,9,,,,,
2013/04/01,22,30,,,18,8,,,,,
2013/04/01,23,31,,,19,8,,,,,
2013/04/01,24,34,,,20,8,,,,,
2013/04/02,01,33,,,22,8,,,,,
2013/04/02,02,31,,,19,8,,,,,
2013/04/02,03,32,,,19,8,,,,,
2013/04/02,04,30,,,18,8,,,,,
2013/04/02,05,33,,,19,8,,,,,
2013/04/02,06,41,,,20,8,,,,,
2013/04/02,07,43,,,35,8,,,,,
2013/04/02,08,32,,,20,8,,,,,
2013/04/02,09,34,,,21,9,,,,,
2013/04/02,10,27,,,17,9,,,,,
2013/04/02,11,25,,,10,9,,,,,
2013/04/02,12,27,,,13,9,,,,,
2013/04/02,13,24,,,10,9,,,,,
2013/04/02,14,32,,,12,10,,,,,
2013/04/02,15,29,,,12,13,,,,,
2013/04/02,16,28,,,11,11,,,,,
2013/04/02,17,26,,,13,9,,,,,
2013/04/02,18,24,,,10,9,,,,,
2013/04/02,19,27,,,12,8,,,,,
2013/04/02,20,24,,,13,9,,,,,
2013/04/02,21,23,,,9,8,,,,,
2013/04/02,22,24,,,9,8,,,,,
2013/04/02,23,30,,,15,8,,,,,
2013/04/02,24,30,,,18,8,,,,,
