計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/10/01,01,60,,,16,,,,
2013/10/01,02,67,,,23,,,,
2013/10/01,03,69,,,24,,,,
2013/10/01,04,56,,,13,,,,
2013/10/01,05,54,,,11,,,,
2013/10/01,06,55,,,13,,,,
2013/10/01,07,94,,,22,,,,
2013/10/01,08,108,,,24,,,,
2013/10/01,09,118,,,24,,,,
2013/10/01,10,153,,,23,,,,
2013/10/01,11,157,,,26,,,,
2013/10/01,12,156,,,25,,,,
2013/10/01,13,152,,,26,,,,
2013/10/01,14,162,,,26,,,,
2013/10/01,15,160,,,32,,,,
2013/10/01,16,166,,,25,,,,
2013/10/01,17,150,,,22,,,,
2013/10/01,18,151,,,22,,,,
2013/10/01,19,142,,,23,,,,
2013/10/01,20,142,,,25,,,,
2013/10/01,21,137,,,24,,,,
2013/10/01,22,134,,,17,,,,
2013/10/01,23,75,,,17,,,,
2013/10/01,24,63,,,15,,,,
2013/10/02,01,62,,,17,,,,
2013/10/02,02,69,,,23,,,,
2013/10/02,03,73,,,24,,,,
2013/10/02,04,58,,,13,,,,
2013/10/02,05,57,,,13,,,,
2013/10/02,06,57,,,13,,,,
2013/10/02,07,97,,,22,,,,
2013/10/02,08,105,,,26,,,,
2013/10/02,09,116,,,25,,,,
2013/10/02,10,151,,,22,,,,
2013/10/02,11,159,,,24,,,,
2013/10/02,12,156,,,27,,,,
2013/10/02,13,157,,,30,,,,
2013/10/02,14,165,,,37,,,,
2013/10/02,15,161,,,35,,,,
2013/10/02,16,164,,,28,,,,
2013/10/02,17,153,,,24,,,,
2013/10/02,18,140,,,17,,,,
2013/10/02,19,140,,,23,,,,
2013/10/02,20,141,,,25,,,,
2013/10/02,21,136,,,27,,,,
2013/10/02,22,132,,,17,,,,
2013/10/02,23,70,,,15,,,,
2013/10/02,24,60,,,13,,,,
2013/10/03,01,61,,,16,,,,
2013/10/03,02,69,,,23,,,,
2013/10/03,03,73,,,24,,,,
2013/10/03,04,59,,,13,,,,
2013/10/03,05,56,,,12,,,,
2013/10/03,06,57,,,14,,,,
2013/10/03,07,95,,,22,,,,
2013/10/03,08,105,,,24,,,,
2013/10/03,09,108,,,23,,,,
2013/10/03,10,144,,,20,,,,
2013/10/03,11,146,,,21,,,,
2013/10/03,12,141,,,23,,,,
2013/10/03,13,144,,,28,,,,
2013/10/03,14,148,,,28,,,,
2013/10/03,15,139,,,29,,,,
2013/10/03,16,144,,,23,,,,
2013/10/03,17,139,,,21,,,,
2013/10/03,18,132,,,19,,,,
2013/10/03,19,126,,,20,,,,
2013/10/03,20,129,,,24,,,,
2013/10/03,21,126,,,24,,,,
2013/10/03,22,118,,,13,,,,
2013/10/03,23,68,,,13,,,,
2013/10/03,24,53,,,12,,,,
2013/10/04,01,55,,,15,,,,
2013/10/04,02,62,,,22,,,,
2013/10/04,03,64,,,21,,,,
2013/10/04,04,51,,,11,,,,
2013/10/04,05,49,,,11,,,,
2013/10/04,06,51,,,11,,,,
2013/10/04,07,90,,,19,,,,
2013/10/04,08,99,,,20,,,,
2013/10/04,09,96,,,18,,,,
2013/10/04,10,137,,,19,,,,
2013/10/04,11,133,,,21,,,,
2013/10/04,12,133,,,22,,,,
2013/10/04,13,127,,,24,,,,
2013/10/04,14,143,,,25,,,,
2013/10/04,15,139,,,28,,,,
2013/10/04,16,144,,,20,,,,
2013/10/04,17,136,,,18,,,,
2013/10/04,18,138,,,17,,,,
2013/10/04,19,131,,,19,,,,
2013/10/04,20,132,,,23,,,,
2013/10/04,21,126,,,23,,,,
2013/10/04,22,120,,,14,,,,
2013/10/04,23,67,,,14,,,,
2013/10/04,24,55,,,13,,,,
2013/10/05,01,59,,,17,,,,
2013/10/05,02,63,,,20,,,,
2013/10/05,03,66,,,21,,,,
2013/10/05,04,52,,,11,,,,
2013/10/05,05,51,,,11,,,,
2013/10/05,06,51,,,12,,,,
2013/10/05,07,89,,,19,,,,
2013/10/05,08,104,,,24,,,,
