計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/11/01,01,105,,,,0,,
2013/11/01,02,53,,,,0,,
2013/11/01,03,54,,,,0,,
2013/11/01,04,53,,,,0,,
2013/11/01,05,54,,,,0,,
2013/11/01,06,36,,,,0,,
2013/11/01,07,34,,,,0,,
2013/11/01,08,40,,,,0,,
2013/11/01,09,54,,,,3,,
2013/11/01,10,51,,,,5,,
2013/11/01,11,56,,,,5,,
2013/11/01,12,80,,,,5,,
2013/11/01,13,127,,,,3,,
2013/11/01,14,112,,,,4,,
2013/11/01,15,129,,,,6,,
2013/11/01,16,154,,,,6,,
2013/11/01,17,161,,,,5,,
2013/11/01,18,156,,,,5,,
2013/11/01,19,144,,,,1,,
2013/11/01,20,116,,,,0,,
2013/11/01,21,118,,,,0,,
2013/11/01,22,111,,,,0,,
2013/11/01,23,118,,,,0,,
2013/11/01,24,61,,,,0,,
2013/11/02,01,48,,,,0,,
2013/11/02,02,49,,,,0,,
2013/11/02,03,48,,,,0,,
2013/11/02,04,49,,,,0,,
2013/11/02,05,49,,,,0,,
2013/11/02,06,44,,,,0,,
2013/11/02,07,38,,,,0,,
2013/11/02,08,46,,,,0,,
2013/11/02,09,89,,,,3,,
2013/11/02,10,100,,,,6,,
2013/11/02,11,88,,,,6,,
2013/11/02,12,80,,,,6,,
2013/11/02,13,95,,,,4,,
2013/11/02,14,119,,,,5,,
2013/11/02,15,156,,,,6,,
2013/11/02,16,151,,,,7,,
2013/11/02,17,142,,,,6,,
2013/11/02,18,131,,,,5,,
2013/11/02,19,129,,,,0,,
2013/11/02,20,143,,,,0,,
2013/11/02,21,132,,,,0,,
2013/11/02,22,124,,,,0,,
2013/11/02,23,124,,,,0,,
2013/11/02,24,139,,,,0,,
2013/11/03,01,77,,,,0,,
2013/11/03,02,47,,,,0,,
2013/11/03,03,48,,,,0,,
2013/11/03,04,47,,,,0,,
2013/11/03,05,46,,,,0,,
2013/11/03,06,46,,,,0,,
2013/11/03,07,44,,,,6,,
2013/11/03,08,50,,,,9,,
