,Demand_Power,RE_Power
2013-12-01 02:00:00,265,0.0
2013-12-01 03:00:00,272,0.0
2013-12-01 04:00:00,267,0.0
2013-12-01 05:00:00,261,0.0
2013-12-01 06:00:00,264,0.01
2013-12-01 07:00:00,265,0.07
2013-12-01 08:00:00,265,0.25
2013-12-01 09:00:00,274,0.43
2013-12-01 10:00:00,247,0.51
2013-12-01 11:00:00,239,0.54
2013-12-01 12:00:00,233,0.53
2013-12-01 13:00:00,224,0.41
2013-12-01 14:00:00,227,0.23
2013-12-01 15:00:00,212,0.08
2013-12-01 16:00:00,205,0.01
2013-12-01 17:00:00,206,0.0
2013-12-01 18:00:00,207,0.0
2013-12-01 19:00:00,205,0.0
2013-12-01 20:00:00,202,0.0
2013-12-01 21:00:00,206,0.0
2013-12-01 22:00:00,208,0.0
2013-12-01 23:00:00,207,0.0
2013-12-02 00:00:00,205,0.0
2013-12-02 01:00:00,206,0.0
2013-12-02 02:00:00,206,0.0
2013-12-02 03:00:00,212,0.0
2013-12-02 04:00:00,220,0.0
2013-12-02 05:00:00,396,0.0
2013-12-02 06:00:00,325,0.01
2013-12-02 07:00:00,330,0.05
2013-12-02 08:00:00,359,0.22
2013-12-02 09:00:00,401,0.37
2013-12-02 10:00:00,496,0.5
2013-12-02 11:00:00,546,0.46
2013-12-02 12:00:00,538,0.18
2013-12-02 13:00:00,513,0.09
2013-12-02 14:00:00,646,0.07
2013-12-02 15:00:00,683,0.03
2013-12-02 16:00:00,640,0.01
2013-12-02 17:00:00,635,0.0
2013-12-02 18:00:00,578,0.0
2013-12-02 19:00:00,619,0.0
2013-12-02 20:00:00,506,0.0
2013-12-02 21:00:00,454,0.0
2013-12-02 22:00:00,440,0.0
2013-12-02 23:00:00,430,0.0
2013-12-03 00:00:00,435,0.0
2013-12-03 01:00:00,440,0.0
2013-12-03 02:00:00,434,0.0
2013-12-03 03:00:00,544,0.0
2013-12-03 04:00:00,573,0.0
2013-12-03 05:00:00,551,0.0
2013-12-03 06:00:00,591,0.01
2013-12-03 07:00:00,580,0.03
2013-12-03 08:00:00,593,0.05
2013-12-03 09:00:00,632,0.23
2013-12-03 10:00:00,700,0.44
2013-12-03 11:00:00,698,0.22
2013-12-03 12:00:00,704,0.29
2013-12-03 13:00:00,695,0.28
2013-12-03 14:00:00,770,0.23
2013-12-03 15:00:00,814,0.02
2013-12-03 16:00:00,747,0.01
2013-12-03 17:00:00,686,0.0
2013-12-03 18:00:00,657,0.0
2013-12-03 19:00:00,677,0.0
2013-12-03 20:00:00,660,0.0
2013-12-03 21:00:00,619,0.0
2013-12-03 22:00:00,555,0.0
2013-12-03 23:00:00,507,0.0
2013-12-04 00:00:00,506,0.0
2013-12-04 01:00:00,513,0.0
2013-12-04 02:00:00,502,0.0
2013-12-04 03:00:00,473,0.0
2013-12-04 04:00:00,471,0.0
2013-12-04 05:00:00,609,0.0
2013-12-04 06:00:00,600,0.01
2013-12-04 07:00:00,511,0.08
