name,Num_EV,SolarCapacity,BuyPowerEnergy,TripEnergy,ContractPower,Cost
B11003785,0,32.53012,160236.75914566425,0.0,51.0,417.18058
B11003797,0,311.82796,1283903.5578046471,0.0,396.29032,3408.5638
B11003798,0,27.272727,187243.18185805698,0.0,53.0,455.10058
B11003800,0,25.0,132655.5,0.0,58.5,374.8406
B11003803,0,56.060606,349745.5909817399,0.0,133.87879,929.64278
B11003805,0,67.021277,345475.9786316397,0.0,87.0,847.53393
B11003808,0,7.7922078,188600.03906092377,0.0,86.0,489.38003
B11003809,0,307.14286,1550634.0709146585,0.0,370.0,3773.8891
B11003811,0,11.111111,110046.2222564791,0.0,81.666667,360.82818
B11003819,0,22.727273,123621.95449833653,0.0,66.090909,371.69255
B11003822,0,41.463415,276044.02453330246,0.0,116.58537,750.86371
B11003823,0,150.0,485967.5,0.0,246.5,1541.9252
B11003824,0,28.947368,131642.86839320563,0.0,60.131579,383.52406
B11003826,0,115.78947,461636.6318557878,0.0,143.52632,1234.1829
B11003828,0,6.0606061,56706.87884026544,0.0,37.69697,177.66662
B11003829,0,245.28302,2225344.247221425,0.0,715.54717,5441.9059
B11003830,0,61.627907,287703.87225104973,0.0,85.069767,741.62472
B11003831,0,28.571429,196789.71435268072,0.0,62.0,490.86743
B11003833,0,26.530612,967545.9584499946,0.0,430.73469,2465.594
B11003834,0,35.802469,184185.82710137466,0.0,64.0,487.57791
B11003838,0,9.5238095,87237.04767084797,0.0,45.714286,248.86347
B11003839,0,132.35294,466315.7352010729,0.0,229.47059,1444.7458
B11003840,0,27.118644,92337.37296121578,0.0,67.372881,332.02251
B11003841,0,95.555556,315371.2220822334,0.0,104.53333,885.44603
B11003842,0,58.695652,349095.3039822897,0.0,166.0,998.19007
B11003843,0,12.820513,59612.10259199983,0.0,29.0,176.73897
B11003844,0,17.105263,79707.43415630021,0.0,54.802632,268.63889
B11003845,0,145.71429,461421.48573376803,0.0,138.71429,1277.2311
B11003846,0,71.111111,225365.71120089586,0.0,65.444444,619.05749
B11003847,0,25.641026,144622.0768826613,0.0,62.461538,403.13042
B11003849,0,80.519481,629361.7797102965,0.0,381.0,1919.8257
B11003850,0,38.461538,209078.1538462146,0.0,115.92308,637.05163
B11003851,0,124.65753,624228.5749798338,0.0,128.0,1478.6952
B11003852,0,73.684211,352076.2106163091,0.0,97.052632,890.23537
B11003856,0,33.898305,339932.5423994013,0.0,137.98305,882.89771
B11003858,0,129.03226,444137.6128914018,0.0,234.51613,1413.5626
