name,Num_EV,Demand,RES,SolarCapacity,BuyPowerEnergy,TripEnergy,ContractPower,Cost,EnergyCost,ContractCost
B11000004,0,1063827.0,0.0,0,1063827.0,0.0,263.0,2233.5936,1702.1232,531.4704
B11000005,0,658682.0,0.0,0,658682.0,0.0,145.0,1346.9072,1053.8912,293.016
B11000007,0,1076601.0,0.0,0,1076601.0,0.0,265.0,2258.0736,1722.5616,535.512
B11000008,0,786858.0,0.0,0,786858.0,0.0,187.0,1636.8624,1258.9728,377.8896
B11000010,0,919555.0,0.0,0,919555.0,0.0,218.0,1911.8224,1471.288,440.5344
B11000012,0,406374.0,0.0,0,406374.0,0.0,135.0,923.0064,650.1984,272.808
B11000014,0,2652543.0,0.0,0,2652543.0,0.0,703.0,5664.6912,4244.0688,1420.6224
B11000015,0,2058185.0,0.0,0,2058185.0,0.0,499.0,4301.4752,3293.096,1008.3792
B11000016,0,2059742.0,0.0,0,2059742.0,0.0,549.0,4405.0064,3295.5872,1109.4192
B11000017,0,1523197.0,0.0,0,1523197.0,0.0,335.0,3114.0832,2437.1152,676.968
B11000018,0,1777138.0,0.0,0,1777138.0,0.0,414.0,3680.032,2843.4208,836.6112
B11000019,0,1451013.0,0.0,0,1451013.0,0.0,301.0,2929.8816,2321.6208,608.2608
B11000020,0,1416556.0,0.0,0,1416556.0,0.0,316.0,2905.0624,2266.4896,638.5728
B11000021,0,669384.0,0.0,0,669384.0,0.0,203.0,1481.2368,1071.0144,410.2224
B11000022,0,470162.0,0.0,0,470162.0,0.0,110.0,974.5472,752.2592,222.288
B11000024,0,1277461.0,0.0,0,1277461.0,0.0,349.0,2749.1968,2043.9376,705.2592
B11000028,0,339637.0,0.0,0,339637.0,0.0,312.0,1173.9088,543.4192,630.4896
B11000031,0,563684.0,0.0,0,563684.0,0.0,183.0,1271.7008,901.8944,369.8064
B11000032,0,423935.0,0.0,0,423935.0,0.0,160.0,1001.624,678.296,323.328
B11000033,0,770048.0,0.0,0,770048.0,0.0,279.0,1795.88,1232.0768,563.8032
B11000034,0,226846.0,0.0,0,226846.0,0.0,96.0,556.9504,362.9536,193.9968
B11000035,0,246913.0,0.0,0,246913.0,0.0,146.0,690.0976,395.0608,295.0368
B11000040,0,105161.0,0.0,0,105161.0,0.0,51.0,271.3184,168.2576,103.0608
B11000041,0,82218.0,0.0,0,82218.0,0.0,35.0,202.2768,131.5488,70.728
B11000042,0,149113.0,0.0,0,149113.0,0.0,88.0,416.4112,238.5808,177.8304
B11000043,0,29243.0,0.0,0,29243.0,0.0,25.0,97.3088,46.7888,50.52
B11000044,0,57817.0,0.0,0,57817.0,0.0,23.0,138.9856,92.5072,46.4784
B11000045,0,38546.0,0.0,0,38546.0,0.0,25.0,112.1936,61.6736,50.52
B11000046,0,36540.0,0.0,0,36540.0,0.0,21.0,100.9008,58.464,42.4368
B11000047,0,22617.0,0.0,0,22617.0,0.0,22.0,80.6448,36.1872,44.4576
B11000048,0,29232.0,0.0,0,29232.0,0.0,22.0,91.2288,46.7712,44.4576
B11000049,0,33179.0,0.0,0,33179.0,0.0,21.0,95.5232,53.0864,42.4368
B11000050,0,38015.0,0.0,0,38015.0,0.0,20.0,101.24,60.824,40.416
B11000051,0,33358.0,0.0,0,33358.0,0.0,23.0,99.8512,53.3728,46.4784
B11000052,0,39179.0,0.0,0,39179.0,0.0,20.0,103.1024,62.6864,40.416
B11000053,0,62803.0,0.0,0,62803.0,0.0,28.0,157.0672,100.4848,56.5824
B11000054,0,55690.0,0.0,0,55690.0,0.0,35.0,159.832,89.104,70.728
B11000055,0,33488.0,0.0,0,33488.0,0.0,21.0,96.0176,53.5808,42.4368
B11000059,0,65033.0,0.0,0,65033.0,0.0,31.0,166.6976,104.0528,62.6448
B11000060,0,66084.0,0.0,0,66084.0,0.0,37.0,180.504,105.7344,74.7696
B11000061,0,29417.0,0.0,0,29417.0,0.0,18.0,83.4416,47.0672,36.3744
B11000063,0,35352.0,0.0,0,35352.0,0.0,25.0,107.0832,56.5632,50.52
B11000065,0,24476.0,0.0,0,24476.0,0.0,13.0,65.432,39.1616,26.2704
B11000066,0,33286.0,0.0,0,33286.0,0.0,25.0,103.7776,53.2576,50.52
B11000067,0,24047.0,0.0,0,24047.0,0.0,15.0,68.7872,38.4752,30.312
B11000069,0,27312.0,0.0,0,27312.0,0.0,14.0,71.9904,43.6992,28.2912
B11000070,0,86780.0,0.0,0,86780.0,0.0,51.0,241.9088,138.848,103.0608
B11000072,0,59480.0,0.0,0,59480.0,0.0,33.0,161.8544,95.168,66.6864
B11000073,0,48398.0,0.0,0,48398.0,0.0,25.0,127.9568,77.4368,50.52
B11000074,0,168372.0,0.0,0,168372.0,0.0,95.0,461.3712,269.3952,191.976
B11000076,0,40421.0,0.0,0,40421.0,0.0,27.0,119.2352,64.6736,54.5616
B11000077,0,32263.0,0.0,0,32263.0,0.0,19.0,90.016,51.6208,38.3952
B11000079,0,21218.0,0.0,0,21218.0,0.0,16.0,66.2816,33.9488,32.3328
B11000080,0,25602.0,0.0,0,25602.0,0.0,16.0,73.296,40.9632,32.3328
B11000083,0,22368.0,0.0,0,22368.0,0.0,15.0,66.1008,35.7888,30.312
B11000084,0,29656.0,0.0,0,29656.0,0.0,26.0,99.9904,47.4496,52.5408
B11000085,0,64413.0,0.0,0,64413.0,0.0,33.0,169.7472,103.0608,66.6864
B11000086,0,28159.0,0.0,0,28159.0,0.0,21.0,87.4912,45.0544,42.4368
B11000087,0,26440.0,0.0,0,26440.0,0.0,20.0,82.72,42.304,40.416
B11000088,0,22471.0,0.0,0,22471.0,0.0,14.0,64.2448,35.9536,28.2912
B11000089,0,45495.0,0.0,0,45495.0,0.0,33.0,139.4784,72.792,66.6864
B11000090,0,29756.0,0.0,0,29756.0,0.0,23.0,94.088,47.6096,46.4784
B11000091,0,17877.0,0.0,0,17877.0,0.0,10.0,48.8112,28.6032,20.208
B11000092,0,43699.0,0.0,0,43699.0,0.0,28.0,126.5008,69.9184,56.5824
B11000093,0,35480.0,0.0,0,35480.0,0.0,19.0,95.1632,56.768,38.3952
B11000094,0,41667.0,0.0,0,41667.0,0.0,19.0,105.0624,66.6672,38.3952
