name,Num_EV,Demand,RES,SolarCapacity,BuyPowerEnergy,TripEnergy,ContractPower,Cost,EnergyCost,ContractCost
B11000004,5,1063827.0,215086.9711575,154.94505,856555.6207477355,5973.492063492064,239.45055,2139.3405,1360.9314,483.88167
B11000005,5,658682.0,129954.46770114997,93.617021,535303.2609178558,5973.492063492064,134.0,1303.385,846.92763,270.7872
B11000007,5,1076601.0,241099.73611149998,173.68421,843113.1567890879,5973.492063492064,237.26316,2146.6743,1339.4235,479.46139
B11000008,5,786858.0,181230.700614,130.55556,613081.1484582191,5973.492063492064,167.69444,1561.4853,971.37225,338.87693
B11000010,5,919555.0,209020.28368649998,150.57471,718075.3492908129,5973.492063492064,198.0,1826.2515,1139.363,400.1184
B11000012,5,406374.0,33857.3172086,24.390244,378849.29861371807,6284.603174603174,132.26829,926.18396,596.10351,267.28777
B11000014,5,2652543.0,675968.6932379999,486.95652,1996302.203509392,6188.412698412698,661.13043,5404.0423,3184.1821,1336.0124
B11000015,5,2058185.0,497420.41203949996,358.33333,1575458.981622198,6188.412698412698,456.41667,4088.7014,2510.8329,922.3268
B11000016,5,2059742.0,498866.40624999994,359.375,1576169.5759444488,6188.412698412698,505.0,4189.8645,2511.9699,1020.504
B11000017,5,1523197.0,398480.700983,287.05882,1139598.090037726,6188.412698412698,314.64706,2978.3237,1813.4555,635.83878
B11000018,5,1777138.0,414665.32229249994,298.71795,1375635.5717107935,6188.412698412698,380.03846,3508.8215,2191.1155,767.98172
B11000019,5,1451013.0,392145.880719,282.35294,1067320.4892855654,5981.9047619047615,281.0,2786.663,1698.1417,567.8448
B11000020,5,1416556.0,380004.79012350005,273.61111,1043905.1714904984,5430.952380952381,256.52778,2685.1098,1661.5587,518.39133
B11000021,5,669384.0,104163.75000000001,75.0,572894.6368477012,6116.190476190477,196.25,1456.0525,906.84551,396.582
B11000022,5,470162.0,109680.98809989999,79.012346,367438.0041896313,5981.9047619047615,102.20988,944.62239,578.32976,206.54572
B11000024,5,1277461.0,375030.0,270.0,913096.996964377,5430.952380952381,287.5,2531.9957,1452.2657,580.98
B11000028,5,339637.0,32053.846047000003,23.076923,313729.2869782798,5969.682539682541,298.38462,1155.8525,492.41537,602.97563
B11000031,5,563684.0,96702.58378614999,69.662921,474209.5859207029,6031.587301587301,155.30337,1206.0735,749.0848,313.83705
B11000032,5,423935.0,100834.315449,72.60274,330162.7865897697,6031.587301587301,138.27397,946.40383,518.60992,279.42404
B11000033,5,770048.0,166577.99999999997,120.0,617070.1289030001,6143.809523809524,234.8,1684.466,977.48211,474.48384
B11000034,5,226846.0,44237.747435799996,31.868132,189230.28579332898,6031.587301587301,81.0,532.86865,293.11792,163.6848
