name,Num_EV,TripEnergy,Demand,RES,SolarCapacity,BuyPowerEnergy,ContractPower,Cost,EnergyCost,ContractCost,Is_opt_capacity,TripType,ChargeType,ControlRatio
B11000004,0,0.0,1063827.0,0.0,0.0,1063827.0,263.0,2233.5936,1702.1232,531.4704000000002,False,Office,V2B,0
B11000005,0,0.0,658682.0,0.0,0.0,658682.0,145.0,1346.9072,1053.8912,293.0160000000001,False,Office,V2B,0
B11000007,0,0.0,1076601.0,0.0,0.0,1076601.0,265.0,2258.0736,1722.5616,535.5120000000001,False,Office,V2B,0
B11000008,0,0.0,786858.0,0.0,0.0,786858.0,187.0,1636.8624,1258.9728,377.8896000000001,False,Office,V2B,0
B11000010,0,0.0,919555.0,0.0,0.0,919555.0,218.0,1911.8224,1471.288,440.53440000000006,False,Office,V2B,0
B11000012,0,0.0,406374.0,0.0,0.0,406374.0,135.0,923.0064,650.1984,272.80800000000005,False,Office,V2B,0
B11000014,0,0.0,2652543.0,0.0,0.0,2652543.0,703.0,5664.6912,4244.0688,1420.6224000000002,False,Office,V2B,0
B11000015,0,0.0,2058185.0,0.0,0.0,2058185.0,499.0,4301.4752,3293.096,1008.3792000000002,False,Office,V2B,0
B11000016,0,0.0,2059742.0,0.0,0.0,2059742.0,549.0,4405.0064,3295.5872,1109.4192000000003,False,Office,V2B,0
B11000017,0,0.0,1523197.0,0.0,0.0,1523197.0,335.0,3114.0832,2437.1152,676.9680000000001,False,Office,V2B,0
B11000018,0,0.0,1777138.0,0.0,0.0,1777138.0,414.0,3680.0320000000006,2843.4208000000003,836.6112000000002,False,Office,V2B,0
B11000019,0,0.0,1451013.0,0.0,0.0,1451013.0,301.0,2929.8816,2321.6208,608.2608000000001,False,Office,V2B,0
B11000020,0,0.0,1416556.0,0.0,0.0,1416556.0,316.0,2905.0624,2266.4896,638.5728000000001,False,Office,V2B,0
B11000021,0,0.0,669384.0,0.0,0.0,669384.0,203.0,1481.2368000000001,1071.0144,410.22240000000005,False,Office,V2B,0
B11000022,0,0.0,470162.0,0.0,0.0,470162.0,110.0,974.5472000000001,752.2592000000001,222.28800000000004,False,Office,V2B,0
B11000024,0,0.0,1277461.0,0.0,0.0,1277461.0,349.0,2749.1968,2043.9376000000002,705.2592000000001,False,Office,V2B,0
B11000031,0,0.0,563684.0,0.0,0.0,563684.0,183.0,1271.7008,901.8944,369.80640000000005,False,Office,V2B,0
B11000032,0,0.0,423935.0,0.0,0.0,423935.0,160.0,1001.6240000000001,678.296,323.3280000000001,False,Office,V2B,0
B11000033,0,0.0,770048.0,0.0,0.0,770048.0,279.0,1795.88,1232.0768,563.8032000000001,False,Office,V2B,0
B11000034,0,0.0,226846.0,0.0,0.0,226846.0,96.0,556.9504000000001,362.9536,193.99680000000004,False,Office,V2B,0
B11000040,0,0.0,105161.0,0.0,0.0,105161.0,51.0,271.3184,168.2576,103.06080000000001,False,Office,V2B,0
B11000041,0,0.0,82218.0,0.0,0.0,82218.0,35.0,202.2768,131.5488,70.72800000000001,False,Office,V2B,0
B11000044,0,0.0,57817.0,0.0,0.0,57817.0,23.0,138.9856,92.5072,46.47840000000001,False,Office,V2B,0
B11000050,0,0.0,38015.0,0.0,0.0,38015.0,20.0,101.24000000000001,60.824000000000005,40.41600000000001,False,Office,V2B,0
B11000052,0,0.0,39179.0,0.0,0.0,39179.0,20.0,103.10240000000002,62.686400000000006,40.41600000000001,False,Office,V2B,0
B11000053,0,0.0,62803.0,0.0,0.0,62803.0,28.0,157.0672,100.4848,56.58240000000001,False,Office,V2B,0
B11000059,0,0.0,65033.0,0.0,0.0,65033.0,31.0,166.69760000000002,104.0528,62.64480000000001,False,Office,V2B,0
B11000060,0,0.0,66084.0,0.0,0.0,66084.0,37.0,180.50400000000002,105.73440000000001,74.76960000000001,False,Office,V2B,0
B11000065,0,0.0,24476.0,0.0,0.0,24476.0,13.0,65.432,39.1616,26.270400000000006,False,Office,V2B,0
B11000069,0,0.0,27312.0,0.0,0.0,27312.0,14.0,71.99040000000001,43.699200000000005,28.291200000000003,False,Office,V2B,0
B11000072,0,0.0,59480.0,0.0,0.0,59480.0,33.0,161.8544,95.168,66.6864,False,Office,V2B,0
B11000073,0,0.0,48398.0,0.0,0.0,48398.0,25.0,127.95680000000002,77.4368,50.52000000000001,False,Office,V2B,0
B11000074,0,0.0,168372.0,0.0,0.0,168372.0,95.0,461.37120000000004,269.3952,191.97600000000003,False,Office,V2B,0
B11000085,0,0.0,64413.0,0.0,0.0,64413.0,33.0,169.74720000000002,103.0608,66.6864,False,Office,V2B,0
B11000091,0,0.0,17877.0,0.0,0.0,17877.0,10.0,48.81120000000001,28.6032,20.208000000000006,False,Office,V2B,0
B11000093,0,0.0,35480.0,0.0,0.0,35480.0,19.0,95.16320000000002,56.768,38.39520000000001,False,Office,V2B,0
B11000094,0,0.0,41667.0,0.0,0.0,41667.0,19.0,105.06240000000003,66.66720000000001,38.39520000000001,False,Office,V2B,0
B11000095,0,0.0,44587.0,0.0,0.0,44587.0,23.0,117.81760000000001,71.3392,46.47840000000001,False,Office,V2B,0
B11000096,0,0.0,111925.0,0.0,0.0,111925.0,44.0,267.9952,179.08,88.91520000000001,False,Office,V2B,0
B11000097,0,0.0,38947.0,0.0,0.0,38947.0,17.0,96.6688,62.315200000000004,34.35360000000001,False,Office,V2B,0
B11000100,0,0.0,67039.0,0.0,0.0,67039.0,36.0,180.01120000000003,107.2624,72.74880000000002,False,Office,V2B,0
