name,Num_EV,TripEnergy,Demand,RES,SolarCapacity,BESS_BatteryCapacity,BuyPowerEnergy,ContractPower,Cost,EnergyCost,ContractCost,Is_opt_solarcapacity,Is_opt_BESS,TripType,ChargeType,ControlRatio,Scinario
B11000004,0,0.0,1063827.0,0.0,0.0,0,1063827.0,263.0,2233.5936,1702.1232,531.4704,False,False,Office,V2B,0,1
B11000004,0,0.0,1063827.0,215086.97794336858,154.94505488842603,0,854725.7694113525,254.00000000046055,1880.8444310590946,1367.561231058164,513.2832000009307,True,False,Office,V2B,0,2
B11000004,5,5890.317460317459,1063827.0,215086.97794336858,154.94505488842603,0,860666.608126114,254.0000000000424,1890.3497730018685,1377.0665730017824,513.2832000000859,False,False,Office,V2B,0,3
B11000004,5,5890.317460317459,1063827.0,215934.4444000462,155.55555552357183,0,859988.3019215215,254.00000000246035,1889.264483079406,1375.9812830744343,513.283200004972,True,False,Office,V2B,0,4
B11000004,5,5890.317460317459,1063827.0,215934.4444000462,155.55555552357183,0,855779.0868557291,237.33333333403084,1848.8497389705763,1369.2465389691665,479.6032000014096,False,False,Office,V2B,1,5
B11000004,5,5890.317460317459,1063827.0,260515.82183008108,187.6712328135152,0,818048.8066380023,236.3698630155249,1786.534309802577,1308.878090620804,477.6562191817728,True,False,Office,V2B,1,6
B11000005,0,0.0,658682.0,0.0,0.0,0,658682.0,145.0,1346.9072,1053.8912,293.01599999999996,False,False,Office,V2B,0,1
B11000005,0,0.0,658682.0,129954.4680224415,93.61702123145302,0,534067.2768289037,145.00000000071705,1147.5236429276952,854.507642926246,293.0160000014491,True,False,Office,V2B,0,2
B11000005,5,5890.317460317459,658682.0,129954.4680224415,93.61702123145302,0,540045.7352750612,152.0000000000005,1171.234776440099,864.073176440098,307.1616000000011,False,False,Office,V2B,0,3
B11000005,5,5890.317460317459,658682.0,130744.36046364372,94.18604651056711,0,539412.4123313022,152.00000000000645,1170.2214597300967,863.0598597300836,307.1616000000131,True,False,Office,V2B,0,4
B11000005,5,5890.317460317459,658682.0,130744.36046364372,94.18604651056711,0,534811.1790071807,127.05813953488529,1112.4569747835853,855.6978864114892,256.7590883720962,False,False,Office,V2B,1,5
B11000005,5,5890.317460317459,658682.0,167394.5588155928,120.58823528840027,0,502840.0623802809,126.79411764709734,1060.7696527497037,804.5440998084495,256.22555294125436,True,False,Office,V2B,1,6
B11000007,0,0.0,1076601.0,0.0,0.0,0,1076601.0,265.0,2258.0735999999997,1722.5616,535.512,False,False,Office,V2B,0,1
B11000007,0,0.0,1076601.0,241099.7368897063,173.6842105606068,0,841435.6317611773,253.00000000216974,1857.5594108222683,1346.2970108178836,511.26240000438474,True,False,Office,V2B,0,2
B11000007,5,5890.317460317459,1076601.0,241099.7368897063,173.6842105606068,0,847404.9498766048,258.0000000008495,1877.2143198042845,1355.8479198025677,521.3664000017168,False,False,Office,V2B,0,3
B11000007,5,5890.317460317459,1076601.0,241466.4894515668,173.94841296082328,0,847111.5615260714,258.00000000135583,1876.7448984444543,1355.3784984417143,521.36640000274,True,False,Office,V2B,0,4
B11000007,5,5890.317460317459,1076601.0,241466.4894515668,173.94841296082328,0,842837.2112906338,227.26051587007257,1807.7875885352569,1348.539538065014,459.24805047024273,False,False,Office,V2B,1,5
B11000007,5,5890.317460317459,1076601.0,282416.7240548327,203.44827580220633,0,807717.8830921699,226.96551724187142,1751.0005301898457,1292.3486129474718,458.6519172423738,True,False,Office,V2B,1,6
B11000008,0,0.0,786858.0,0.0,0.0,0,786858.0,187.0,1636.8624,1258.9728,377.8896,False,False,Office,V2B,0,1
B11000008,0,0.0,786858.0,181230.69246302094,130.55555412817128,0,611745.7239377663,177.0833333774526,1336.6431583895821,978.793158300426,357.85000008915625,True,False,Office,V2B,0,2
B11000008,5,5890.317460317459,786858.0,181230.69246302094,130.55555412817128,0,617682.5015494599,182.00000000059404,1356.0776024803363,988.2920024791357,367.7856000012006,False,False,Office,V2B,0,3
B11000008,5,5890.317460317459,786858.0,173721.6960867746,125.14619896032463,0,623569.9306004466,182.00000000082247,1365.497488962377,997.7118889607149,367.7856000016621,True,False,Office,V2B,0,4
B11000008,5,5890.317460317459,786858.0,173721.6960867746,125.14619896032463,0,620010.2724095096,171.2456140311642,1338.069572689392,992.0164358552154,346.05313683417666,False,False,Office,V2B,1,5
B11000008,5,5890.317460317459,786858.0,215341.21797862725,155.1282051497513,0,583905.9065895709,170.44871794838895,1278.692219773418,934.2494505433134,344.44276923010443,True,False,Office,V2B,1,6
B11000010,0,0.0,919555.0,0.0,0.0,0,919555.0,218.0,1911.8224,1471.288,440.5344,False,False,Office,V2B,0,1
