DemandClass,Case,SolarCapacity,BESS_BatteryCapacity,BuyPowerEnergy,SSR[-],SCR[-],AnnualCost,LCOE,PBP,GHG_Comsumption,GHG_Total_Production,GHG_trvl,GHG_Total,CPBP
0,1,0.0,0.0,132227.94,0.0,,3647.57,,0.0,79600.05,4726.96,18729.9,103056.91,0.0
0,2,15.13,0.0,112681.64,0.15,0.93,3579.72,19.94,17.54,67833.35,6367.84,18729.9,92931.09,0.9
0,3,15.13,0.0,123688.14,0.14,0.94,3942.29,30.34,0.0,74459.17,15448.85,0.0,89908.01,1.43
0,4,14.83,0.0,123947.23,0.13,0.94,3940.78,30.56,0.0,74615.14,15416.46,0.0,90031.6,1.45
0,5,14.83,0.0,123362.93,0.12,0.79,3231.51,36.0,9.87,74263.39,15416.46,0.0,89679.85,1.45
0,6,52.14,0.0,76026.21,0.38,0.74,3117.87,19.13,13.53,45767.1,19461.73,0.0,65228.83,0.55
100,1,0.0,0.0,277984.12,0.0,,6859.58,,0.0,167343.98,4726.96,18729.9,190800.84,0.0
100,2,38.57,0.0,227993.7,0.18,0.93,6686.4,19.9,17.61,137250.19,8909.96,18729.9,164890.05,0.4
100,3,38.57,0.0,239056.97,0.17,0.94,6707.96,23.27,0.0,143910.18,17990.97,0.0,161901.14,0.73
100,4,38.29,0.0,239313.32,0.17,0.94,6706.26,23.31,0.0,144064.5,17960.35,0.0,162024.85,0.72
100,5,38.29,0.0,236606.55,0.17,0.93,6189.68,24.96,11.23,142435.05,17960.35,0.0,160395.39,0.69
100,6,89.56,0.0,172069.91,0.34,0.81,6037.97,18.37,14.12,103584.56,23520.36,0.0,127104.92,0.37
200,1,0.0,0.0,487711.01,0.0,,11507.77,,0.0,293597.7,4726.96,18729.9,317054.56,0.0
200,2,72.98,0.0,393287.22,0.19,0.93,11166.74,20.0,17.45,236755.42,12640.44,18729.9,268125.76,0.28
200,3,72.98,0.0,404310.4,0.19,0.93,11030.8,21.66,0.0,243391.28,21721.44,0.0,265112.72,0.47
200,4,72.44,0.0,404840.8,0.19,0.93,11028.83,21.65,0.0,243710.57,21663.31,0.0,265373.88,0.47
200,5,72.44,0.0,399149.79,0.2,0.97,10526.63,21.88,12.24,240284.63,21663.31,0.0,261947.94,0.44
200,6,131.31,0.0,326051.41,0.31,0.86,10364.17,18.77,14.42,196280.06,28047.83,0.0,224327.89,0.31
300,1,0.0,0.0,696104.21,0.0,,15947.24,,0.0,419048.56,4726.96,18729.9,442505.42,0.0
300,2,106.69,0.0,557888.85,0.2,0.93,15446.63,20.05,17.49,335844.14,16296.23,18729.9,370870.27,0.24
300,3,106.69,0.0,568935.06,0.2,0.93,15259.04,21.12,0.0,342493.86,25377.23,0.0,367871.09,0.34
300,4,106.57,0.0,569044.17,0.2,0.93,15257.45,21.12,0.0,342559.55,25364.83,0.0,367924.37,0.33
300,5,106.57,0.0,560900.83,0.2,0.97,14728.67,20.63,13.06,337657.32,25364.83,0.0,363022.15,0.31
300,6,168.14,0.0,485806.97,0.29,0.89,14578.58,19.03,14.79,292451.49,32041.11,0.0,324492.6,0.27
400,1,0.0,0.0,894059.3,0.0,,20173.72,,0.0,538215.77,4726.96,18729.9,561672.63,0.0
400,2,141.52,0.0,709173.61,0.21,0.94,19494.27,19.84,17.35,426916.22,20073.71,18729.9,465719.84,0.22
400,3,141.52,0.0,720223.29,0.2,0.94,19299.96,20.66,0.0,433568.03,29154.72,0.0,462722.75,0.32
400,4,141.7,0.0,720025.12,0.2,0.94,19298.95,20.66,0.0,433448.73,29173.79,0.0,462622.53,0.32
400,5,141.7,0.0,710714.38,0.21,0.97,18710.85,20.12,13.54,427843.76,29173.79,0.0,457017.55,0.3
400,6,205.13,0.0,634439.21,0.28,0.9,18566.74,19.11,14.95,381926.78,36052.15,0.0,417978.92,0.25
