DemandClass,Case,SolarCapacity,AnnualCost,PBP,GHG_Total,CPBP,SSR[-],SCR[-],EnergyCost,ContractCost
400,1,0.0,11848.85,0.0,234.72,0.0,0.0,0.0,781.56,308.69
400,2,75.39,11485.81,14.77,195.12,3.11,0.2,0.93,626.24,293.9
400,3,75.39,11618.89,15.76,170.79,3.79,0.19,0.93,669.77,334.3
400,4,75.39,11618.89,15.76,170.79,3.79,0.19,0.93,669.77,334.3
400,5,75.39,10827.13,10.72,168.36,3.65,0.2,1.0,660.24,230.15
400,6,150.36,10584.19,12.36,129.74,3.45,0.39,0.97,508.77,224.27
600,1,0.0,16276.11,0.0,319.53,0.0,0.0,0.0,1114.15,418.83
600,2,109.72,15745.7,14.79,261.76,3.11,0.2,0.93,887.6,397.6
600,3,109.72,15741.02,14.09,237.44,3.64,0.2,0.93,931.12,424.23
600,4,109.72,15741.02,14.09,237.44,3.64,0.2,0.93,931.12,424.23
600,5,109.72,14950.34,10.92,233.89,3.49,0.21,1.0,917.21,324.58
600,6,187.5,14723.03,12.37,194.4,3.38,0.35,0.97,762.36,318.64
800,1,0.0,20458.46,0.0,400.04,0.0,0.0,0.0,1429.86,521.36
800,2,146.21,19733.2,14.69,322.53,3.09,0.21,0.93,1125.92,493.24
800,3,146.21,19688.16,13.79,298.2,3.52,0.21,0.93,1169.4,515.89
800,4,146.21,19688.16,13.79,298.2,3.52,0.21,0.93,1169.4,515.89
800,5,146.21,18886.04,11.28,293.86,3.37,0.22,1.0,1152.39,418.18
800,6,227.18,18669.86,12.55,253.45,3.32,0.33,0.97,993.93,411.3
