DemandClass,Case,SolarCapacity,BESS_BatteryCapacity,BuyPowerEnergy,SSR[-],SCR[-],AnnualCost,PBP,GHG_Comsumption,GHG_Total_Production,GHG_trvl,GHG_Total,CPBP
0,1,0.0,0.0,132214.55,0.0,0.0,3331.92,0.0,79591.99,2363.48,9364.95,91.32,0.0
0,2,15.42,0.0,112313.19,0.15,0.93,3262.92,17.52,67611.54,4035.53,9364.95,81.01,-8787526.68
0,3,15.42,0.0,118779.44,0.14,0.94,3419.55,153.96,71504.17,8576.03,0.0,80.08,1.03
0,4,15.42,0.0,118779.44,0.14,0.94,3419.55,153.96,71504.17,8576.03,0.0,80.08,1.03
0,5,15.42,0.0,117496.63,0.16,1.0,3076.02,11.37,70731.93,8576.03,0.0,79.31,0.98
0,6,36.62,0.0,90926.83,0.37,0.98,3009.76,14.14,54737.15,10874.58,0.0,65.61,0.46
100,1,0.0,0.0,277988.09,0.0,0.0,6544.44,0.0,167346.36,2363.48,9364.95,179.07,0.0
100,2,38.93,0.0,227608.42,0.18,0.93,6364.89,17.5,137018.25,6585.16,9364.95,152.97,-5728433.69
100,3,38.93,0.0,234099.84,0.18,0.94,6431.44,21.81,140926.03,11125.66,0.0,152.05,0.49
100,4,38.93,0.0,234099.84,0.18,0.94,6431.44,21.81,140926.03,11125.66,0.0,152.05,0.49
100,5,38.93,0.0,231010.9,0.19,1.0,6092.91,12.86,139066.52,11125.66,0.0,150.19,0.46
100,6,67.54,0.0,195851.54,0.32,0.97,6012.36,14.8,117900.89,14227.86,0.0,132.13,0.31
200,1,0.0,0.0,487681.71,0.0,0.0,11191.87,0.0,293580.07,2363.48,9364.95,305.31,0.0
200,2,74.1,0.0,392227.33,0.2,0.93,10836.4,17.34,236117.38,10398.55,9364.95,255.88,0.22
200,3,74.1,0.0,398665.74,0.19,0.93,10815.88,17.17,239993.24,14939.05,0.0,254.93,0.33
200,4,74.1,0.0,398665.74,0.19,0.93,10815.88,17.17,239993.24,14939.05,0.0,254.93,0.33
200,5,74.1,0.0,393218.34,0.2,0.99,10470.16,13.79,236713.95,14939.05,0.0,251.65,0.3
200,6,105.37,0.0,356054.6,0.28,0.96,10403.34,15.15,214341.71,18330.2,0.0,232.67,0.26
300,1,0.0,0.0,696063.93,0.0,0.0,15631.16,0.0,419024.32,2363.48,9364.95,430.75,0.0
300,2,109.18,0.0,555142.23,0.2,0.93,15103.64,17.34,334190.7,14203.08,9364.95,357.76,-272.16
300,3,109.18,0.0,561593.1,0.2,0.93,15051.62,16.9,338074.07,18743.58,0.0,356.82,0.3
300,4,109.18,0.0,561593.1,0.2,0.93,15051.62,16.9,338074.07,18743.58,0.0,356.82,0.3
300,5,109.18,0.0,554775.58,0.21,0.98,14704.6,14.53,333969.98,18743.58,0.0,352.71,0.28
300,6,140.81,0.0,518008.06,0.27,0.95,14651.12,15.52,311836.26,22173.43,0.0,334.01,0.26
400,1,0.0,0.0,893822.72,0.0,0.0,19845.04,0.0,538073.35,2363.48,9364.95,549.8,0.0
400,2,145.29,0.0,705035.07,0.21,0.93,19124.76,17.25,424424.86,18119.01,9364.95,451.91,0.19
400,3,145.29,0.0,711494.25,0.21,0.93,19061.54,16.8,428313.23,22659.52,0.0,450.97,0.24
400,4,145.29,0.0,711494.25,0.21,0.93,19061.54,16.8,428313.23,22659.52,0.0,450.97,0.24
400,5,145.29,0.0,704047.86,0.22,0.98,18686.96,14.84,423830.57,22659.52,0.0,446.49,0.23
400,6,177.56,0.0,667178.61,0.26,0.95,18641.67,15.66,401635.6,26158.72,0.0,427.79,0.22
