,0
B11000004,9
B11000005,1
B11000007,9
B11000008,9
B11000010,9
B11000012,6
B11000014,3
B11000015,9
B11000016,9
B11000017,9
B11000018,9
B11000019,9
B11000020,9
B11000021,8
B11000022,4
B11000024,3
B11000028,2
B11000031,7
B11000032,6
B11000033,8
B11000034,6
B11000035,2
B11000040,2
B11000041,2
B11000042,2
B11000043,2
B11000044,8
B11000045,2
B11000046,2
B11000047,2
B11000048,2
B11000049,2
B11000050,2
B11000051,2
B11000052,2
B11000053,2
B11000054,2
B11000055,2
B11000059,2
B11000060,2
B11000061,2
B11000063,2
B11000065,2
B11000066,2
B11000067,2
B11000069,2
B11000070,2
B11000072,2
B11000073,2
B11000074,2
B11000076,2
B11000077,2
B11000079,2
B11000080,2
B11000083,2
B11000084,2
B11000085,2
B11000086,2
B11000087,2
B11000088,2
B11000089,2
B11000090,2
B11000091,2
B11000092,2
B11000093,2
B11000094,2
B11000095,2
B11000096,2
B11000097,2
B11000098,2
B11000099,2
B11000100,2
B11000101,2
B11000102,2
B11000103,2
B11000104,2
B11000105,2
B11000106,2
B11000107,2
B11000108,2
B11000110,2
B11000111,2
B11000112,8
B11000113,2
B11000114,2
B11000115,2
B11000116,2
B11000117,2
B11000118,2
B11000120,2
B11000121,2
B11000122,2
B11000123,2
B11000124,2
B11000125,2
B11000127,2
B11000129,2
B11000131,2
B11000132,2
B11000133,2
B11000134,2
B11000135,2
B11000136,2
B11000137,2
B11000138,2
B11000139,2
B11000140,2
B11000141,2
B11000142,2
B11000143,2
B11000144,2
B11000145,2
B11000147,2
B11000148,2
B11000149,2
B11000150,2
B11000151,2
B11000152,2
B11000153,2
B11000158,2
B11000161,2
B11000162,2
B11000163,2
B11000164,2
B11000166,2
B11000167,2
B11000168,2
B11000169,2
B11000170,2
B11000173,2
B11000174,2
B11000175,2
B11000176,2
B11000177,2
B11000178,2
B11000179,2
B11000180,2
B11000181,5
B11000182,2
B11000184,2
B11000185,2
B11000186,2
B11000187,2
B11000191,2
B11000193,2
B11000194,2
B11000195,2
B11000196,2
B11000198,2
B11000199,2
B11000200,2
B11000201,2
B11000202,2
B11000203,2
B11000204,2
B11000205,2
B11000206,2
B11000207,2
B11000208,2
B11000209,2
B11000210,2
B11000212,2
B11000213,2
B11000214,2
B11000215,2
B11000216,2
B11000217,2
B11000218,2
B11000219,2
B11000220,2
B11000221,2
B11000222,2
B11000223,8
B11000224,4
B11000225,5
B11000227,0
B11000228,4
B11000230,8
B11000231,2
B11000233,2
B11000234,1
B11000235,2
B11000236,2
B11000237,6
B11000238,2
B11000239,2
B11000240,2
B11000241,2
B11000242,2
B11000243,2
B11000244,2
B11000245,2
B11000246,6
B11000247,2
B11000248,2
B11000249,3
B11000250,2
B11000251,6
B11000252,3
B11000253,3
B11000254,6
B11000255,6
B11000256,6
B11000257,2
B11000259,2
B11000260,2
B11000261,3
B11000262,2
B11000263,2
B11000264,6
B11000265,2
B11000266,2
B11000267,2
B11000268,6
B11000269,2
B11000270,2
B11000271,6
B11000272,3
B11000273,6
B11000274,2
B11000275,6
B11000276,2
B11000277,2
B11000278,2
B11000279,2
B11000280,2
B11000281,6
B11000282,6
B11000283,6
B11000284,6
B11000285,6
B11000286,6
B11000287,5
B11000288,9
B11000289,9
B11000290,9
B11000291,5
B11000292,2
B11000293,2
B11000294,2
B11000295,2
B11000296,2
B11000297,2
B11000298,2
B11000299,2
B11000300,2
B11000301,2
B11000302,2
B11000303,2
B11000304,2
B11000305,2
B11000306,2
B11000307,4
B11000308,1
B11000311,1
B11000312,9
B11000313,1
B11000314,1
B11000316,2
B11000317,2
B11000318,2
B11000319,2
B11000320,2
B11000322,2
B11000324,2
B11000325,2
B11000326,2
B11000328,3
B11000330,9
B11000331,3
B11000332,3
B11000334,8
B11000335,2
B11000336,2
B11000337,1
B11000338,1
B11000339,1
B11000340,4
B11000341,3
B11000342,7
B11000343,7
B11000344,1
B11000345,4
B11000346,9
B11000347,1
B11000348,7
B11000349,9
B11000351,3
B11000352,3
B11000353,6
B11000354,9
B11000355,4
B11000356,1
B11000358,5
B11000359,4
B11000360,1
B11000361,2
B11000362,1
B11000363,2
B11000364,1
B11000365,1
B11000366,2
B11000367,1
B11000368,1
B11000369,4
B11000370,2
B11000371,2
B11000372,1
B11000373,2
B11000374,8
B11000375,5
B11000376,4
B11000377,4
B11000378,9
B11000379,4
B11000380,8
B11000381,4
B11000382,4
B11000383,7
B11000384,3
B11000386,5
B11000387,2
B11000388,2
B11000389,2
B11000390,2
B11000391,2
B11000392,2
B11000393,2
B11000394,2
B11000395,2
B11000396,2
B11000397,2
B11000398,2
B11000399,2
B11000400,2
B11000401,2
B11000402,2
B11000403,2
B11000404,2
B11000405,2
B11000406,2
B11000407,2
B11000408,2
B11000409,2
B11000410,2
B11000411,2
B11000412,2
B11000413,2
B11000414,8
B11000415,4
B11000416,2
B11000417,2
B11000418,2
B11000419,2
B11000420,2
B11000421,2
B11000422,2
B11000423,2
B11000424,2
B11000425,2
B11000426,2
B11000427,2
B11000428,2
B11000429,2
B11000430,2
B11000431,2
B11000432,2
B11000433,2
B11000434,2
B11000435,2
B11000436,8
B11000437,2
B11000438,2
B11000439,2
B11000440,2
B11000441,2
B11000442,2
B11000444,2
B11000445,2
B11000446,2
B11000447,2
B11000448,2
B11000449,2
B11000450,2
B11000451,2
B11000452,2
B11000453,2
B11000454,2
B11000455,2
B11000456,2
B11000457,2
B11000458,2
B11000459,2
B11000460,2
B11000461,2
B11000462,2
B11000463,2
B11000464,2
B11000465,2
B11000466,2
B11000467,2
B11000468,2
B11000470,2
B11000471,2
B11000472,2
B11000473,2
B11000474,2
B11000475,2
B11000476,2
B11000477,2
B11000478,2
B11000479,2
B11000480,2
B11000481,2
B11000482,2
B11000483,2
B11000484,2
B11000485,2
B11000486,2
B11000488,2
B11000489,2
B11000490,2
B11000491,2
B11000492,2
B11000493,2
B11000494,2
B11000495,2
B11000496,2
B11000497,2
B11000498,2
B11000499,2
B11000500,2
B11000501,2
B11000502,2
B11000503,2
B11000504,2
B11000505,2
B11000506,2
B11000507,2
B11000508,2
B11000509,2
B11000510,2
B11000511,2
B11000512,2
B11000513,2
B11000514,2
B11000515,2
B11000516,2
B11000517,2
B11000518,2
B11000519,2
B11000520,2
B11000521,2
B11000522,2
B11000523,2
B11000524,2
B11000525,2
B11000526,2
B11000527,2
B11000528,2
B11000530,2
B11000532,2
B11000533,2
B11000534,2
B11000535,2
B11000536,2
B11000537,2
B11000538,2
B11000539,2
B11000540,2
B11000541,2
B11000542,2
B11000543,2
B11000544,2
B11000545,2
B11000546,2
B11000547,2
B11000548,2
B11000549,2
B11000550,2
B11000551,2
B11000552,2
B11000553,2
B11000554,2
B11000555,2
B11000556,2
B11000557,2
B11000558,2
B11000559,2
B11000561,2
B11000562,2
B11000563,2
B11000564,2
B11000565,2
B11000566,2
B11000567,2
