name,cluster
B11000005,E
B11000008,D
B11000010,D
B11000012,B
B11000021,C
B11000022,D
B11000031,E
B11000032,B
B11000033,C
B11000034,C
B11000040,C
B11000041,C
B11000044,C
B11000050,C
B11000052,C
B11000053,C
B11000059,C
B11000060,C
B11000065,C
B11000069,C
B11000072,C
B11000073,C
B11000074,C
B11000085,C
B11000091,C
B11000093,C
B11000094,C
B11000095,C
B11000096,C
B11000097,C
B11000100,C
B11000102,C
B11000103,C
B11000105,C
B11000108,C
B11000112,C
B11000116,C
B11000117,C
B11000121,C
B11000124,C
B11000125,C
B11000127,C
B11000137,C
B11000138,C
B11000140,C
B11000144,C
B11000148,C
B11000162,C
B11000164,C
B11000167,C
B11000173,C
B11000174,C
B11000182,C
B11000185,C
B11000193,C
B11000199,C
B11000202,C
B11000216,C
B11000219,C
B11000221,C
B11000223,C
B11000227,A
B11000228,C
B11000230,C
B11000233,C
B11000237,B
B11000242,C
B11000245,C
B11000246,B
B11000249,B
B11000251,B
B11000252,B
B11000253,B
B11000254,B
B11000255,B
B11000256,B
B11000260,C
B11000264,B
B11000265,C
B11000268,B
B11000269,C
B11000271,B
B11000272,B
B11000273,B
B11000274,C
B11000275,B
B11000276,C
B11000278,C
B11000280,C
B11000281,B
B11000284,B
B11000285,B
B11000286,B
B11000292,C
B11000295,C
B11000297,C
B11000298,C
B11000301,C
B11000303,C
B11000305,C
B11000306,C
B11000307,C
B11000308,E
B11000311,E
B11000314,E
B11000318,C
B11000319,C
B11000320,C
B11000324,C
B11000326,C
B11000328,B
B11000330,E
B11000331,E
B11000332,E
B11000334,C
B11000337,E
B11000340,D
B11000341,B
B11000342,E
B11000343,E
B11000344,E
B11000348,D
B11000351,B
B11000352,B
B11000353,B
B11000354,D
B11000355,D
B11000360,E
B11000361,C
B11000365,E
B11000369,E
B11000372,E
B11000374,C
B11000376,C
B11000377,D
B11000379,D
B11000380,C
B11000381,D
B11000382,D
B11000384,B
B11000386,D
B11000388,C
B11000392,C
B11000393,C
B11000395,C
B11000396,C
B11000397,C
B11000400,C
B11000401,C
B11000402,C
B11000404,C
B11000409,C
B11000411,C
B11000412,C
B11000414,C
B11000415,D
B11000426,C
B11000427,C
B11000428,C
B11000429,C
B11000430,C
B11000431,C
B11000432,C
B11000433,C
B11000436,C
B11000437,C
B11000438,C
B11000444,C
B11000446,C
B11000455,C
B11000478,C
B11000491,C
B11000492,C
B11000493,C
B11000494,C
B11000495,C
B11000496,C
B11000497,C
B11000498,C
B11000501,C
B11000502,C
B11000506,C
B11000507,C
B11000508,C
B11000514,C
B11000515,C
B11000516,C
B11000517,C
B11000519,C
B11000521,C
B11000523,C
B11000532,C
B11000533,C
B11000541,C
B11000547,C
B11000555,C
B11000558,C
B11000559,D
B11000562,C
B11000565,C
B11000566,C
B11000567,C
B11000569,C
B11000572,C
B11000575,C
B11000576,C
B11000577,C
B11000578,C
B11000579,C
B11000581,C
B11000586,C
B11000589,C
B11000590,C
B11000592,C
B11000593,C
B11000594,C
B11000597,C
B11000599,C
B11000600,C
B11000601,D
B11000602,C
B11000604,D
B11000606,E
B11000609,D
B11000613,E
B11000614,E
B11000617,D
B11000618,E
B11000619,D
B11000621,D
B11000622,D
B11000627,C
B11000629,C
B11000631,D
B11000632,D
B11000634,D
B11000635,C
B11000636,C
B11000637,C
B11000638,C
B11000639,C
B11000640,C
B11000641,C
B11000642,C
B11000654,B
B11000655,B
B11000656,C
B11000657,C
B11000658,C
B11000659,C
B11000660,B
B11000662,B
B11000663,C
B11000665,C
B11000666,B
B11000667,C
B11000676,C
B11000677,B
B11000678,D
B11000679,E
B11000680,C
B11000684,C
B11000685,B
B11000689,B
B11000700,B
B11000701,B
B11000702,B
B11000704,B
B11000706,B
B11000709,B
B11000710,B
B11000711,B
B11000712,B
B11000713,B
B11000714,B
B11000715,B
