,0
B11003785,2
B11003797,2
B11003798,2
B11003800,0
B11003803,1
B11003805,2
B11003808,0
B11003809,2
B11003811,0
B11003819,0
B11003822,0
B11003823,0
B11003824,0
B11003826,2
B11003828,0
B11003829,1
B11003830,2
B11003831,1
B11003833,0
B11003834,1
B11003838,0
B11003839,0
B11003840,0
B11003841,1
B11003842,0
B11003843,0
B11003844,0
B11003845,2
B11003846,2
B11003847,0
B11003849,0
B11003850,0
B11003851,2
B11003852,2
B11003856,0
B11003858,0
B11003859,2
B11003860,2
B11003861,2
B11003862,0
B11003863,0
B11003864,2
B11003865,1
B11003866,1
B11003867,2
B11003868,2
B11003869,1
B11003870,2
B11003871,1
B11003872,2
B11003873,1
B11003874,1
B11003875,0
B11003880,0
B11003881,0
B11003883,2
B11003884,0
B11003886,0
B11003887,2
B11003888,1
B11003889,1
B11003890,2
B11003891,1
B11003892,2
B11003893,0
B11003894,2
B11003895,0
B11003896,0
B11003897,2
B11003899,0
B11003900,0
B11003901,1
B11003902,1
B11003903,1
B11003904,0
B11003905,1
B11003907,2
B11003908,0
B11003909,1
B11003910,1
B11003912,0
B11003916,2
B11003919,0
B11003920,2
B11003922,2
B11003924,2
B11003926,2
B11003928,0
B11003929,0
B11003930,0
B11003931,0
B11003932,0
B11003933,1
B11003934,1
B11003935,2
B11003937,1
B11003938,0
B11003939,0
B11003941,2
B11003942,2
B11003943,0
B11003944,2
B11003945,1
B11003946,2
B11003947,2
B11003948,1
B11003949,0
B11003950,1
B11003951,1
B11003954,1
B11003955,0
B11003956,0
B11003958,0
B11003961,1
B11003962,1
B11003963,0
B11003964,0
B11003965,1
B11003966,1
B11003967,1
B11003968,1
B11003969,0
B11003971,0
B11003972,1
B11003974,0
B11003977,0
B11003983,1
B11003985,1
B11003989,1
B11003994,2
B11003997,1
B11004002,2
B11004003,0
B11004006,0
B11004007,1
B11004011,0
B11004015,0
B11004016,0
B11004021,0
B11004024,0
B11004026,2
B11004027,2
B11004028,1
B11004029,0
B11004031,0
B11004033,1
B11004034,1
B11004035,2
B11004037,0
B11004044,2
B11004046,2
B11004049,0
B11004050,1
B11004054,1
B11004055,0
B11004056,2
B11004058,1
B11004059,0
B11004060,2
B11004061,1
B11004062,0
B11004064,0
B11004065,2
B11004066,0
B11004067,1
B11004069,1
B11004070,1
B11004071,2
B11004072,0
B11004073,1
B11004074,2
B11004079,2
B11004080,2
B11004081,2
B11004082,1
B11004083,1
B11004084,1
B11004085,1
B11004086,2
B11004087,2
B11004088,1
B11004091,2
B11004092,2
B11004093,0
B11004094,0
B11004095,0
B11004097,0
B11004098,2
B11004099,2
B11004100,2
B11004101,1
B11004102,1
B11004103,2
B11004104,1
B11004105,1
B11004106,0
B11004107,2
B11004120,2
B11004121,0
B11004123,1
B11004124,1
B11004125,0
B11004126,2
B11004127,1
B11004128,1
B11004129,2
B11004130,2
B11004131,1
B11004132,2
B11004133,0
B11004134,0
B11004135,0
B11004136,1
B11004137,2
B11004138,0
B11004141,0
B11004166,2
B11004167,2
B11004168,2
B11004169,0
B11004170,1
B11004175,1
B11004180,1
B11004181,1
B11004183,0
B11004192,0
B11004193,0
B11004194,0
B11004195,2
B11004196,1
B11004197,2
B11004198,1
B11004199,1
B11004201,2
B11004204,1
B11004208,1
B11004210,0
B11004213,2
B11004216,1
B11004217,2
B11004226,2
B11004227,1
B11004228,1
B11004229,2
B11004230,0
B11004231,1
B11004232,2
B11004233,0
B11004235,1
B11004239,1
B11004240,1
B11004241,1
B11004243,1
B11004244,0
B11004245,0
B11004252,0
B11004254,1
B11004271,1
B11004273,0
B11004274,1
B11004275,1
B11004276,1
B11004278,2
B11004279,1
B11004280,2
B11004281,0
B11004282,1
B11004283,1
B11004284,2
B11004285,0
B11004287,0
B11004289,0
B11004290,0
B11004292,2
B11004293,0
B11004294,0
B11004322,0
B11004323,1
B11004324,0
B11004325,2
B11004326,2
B11004327,2
B11004331,2
B11004332,2
B11004333,2
B11004334,2
B11004335,2
B11004337,2
B11004339,2
B11004341,2
B11004343,2
B11004344,2
B11004346,2
B11004348,2
B11004349,2
B11004351,2
B11004352,1
B11004354,1
B11004356,0
B11004358,1
B11004359,1
B11004360,1
B11004361,1
B11004362,0
B11004363,0
B11004364,1
B11004365,2
B11004366,1
B11004367,0
B11004368,1
B11004369,0
B11004370,2
B11004371,0
B11004372,1
B11004373,2
B11004374,1
B11004375,2
B11004376,1
B11004377,2
B11004378,1
B11004379,2
B11004380,2
B11004381,0
B11004383,0
B11004384,2
B11004385,2
B11004386,2
B11004387,2
B11004388,2
B11004389,2
B11004390,2
B11004391,1
B11004392,2
B11004395,0
B11004397,0
B11004400,1
B11004401,1
B11004402,1
B11004403,0
B11004404,2
B11004405,1
B11004406,1
B11004408,1
B11004409,1
B11004416,1
B11004417,2
B11004421,2
B11004426,2
B11004428,0
B11004430,2
B11004433,1
B11004434,0
B11004435,0
B11004437,2
B11004440,0
B11004441,0
B11004442,0
B11004443,0
B11004444,0
B11004445,0
B11004446,0
B11004447,0
B11004448,1
B11004449,0
B11004450,2
B11004451,2
B11004452,2
B11004453,1
B11004454,2
B11004455,1
B11004456,0
B11004460,1
B11004465,0
B11004476,2
B11004477,2
B11004478,1
B11004479,0
B11004480,1
B11004481,1
B11004482,0
B11004483,1
B11004485,2
B11004486,1
B11004487,1
B11004488,0
B11004489,0
B11004490,2
B11004491,1
B11004492,0
B11004493,1
B11004494,1
B11004495,2
B11004497,2
B11004498,2
B11004499,2
B11004500,2
B11004501,2
B11004509,0
B11004542,0
B11004545,2
B11004558,1
B11004559,0
B11004560,2
B11004561,0
B11004563,0
B11004564,0
B11004565,1
B11004566,2
B11004567,0
B11004575,0
B11004576,0
B11004577,0
B11004578,1
B11004579,1
B11004580,0
B11004581,1
B11004691,2
B11004694,0
B11004859,2
B11004863,2
B11004864,2
B11004874,1
B11004875,0
B11004876,0
B11004877,0
B11004878,0
B11004879,1
B11004880,1
B11004881,1
B11004882,1
B11004883,1
B11004884,1
B11004885,0
B11004886,1
B11004887,1
B11004888,1
B11004889,1
B11004890,0
B11004924,1
B11004927,0
B11004951,1
B11005038,2
B11005167,1
B11005172,1
B11005213,1
B11005215,1
B11005218,1
B11005221,1
B11005223,1
B11005225,1
B11005241,2
B11005250,2
B11005255,1
B11005257,1
B11005263,1
B11005267,1
B11005270,1
B11005273,1
B11005276,1
B11005278,1
B11005281,1
B11005286,1
B11005288,1
B11005290,1
B11005291,1
B11005293,1
B11005295,1
B11005297,2
B11005298,1
B11005300,1
B11005304,1
B11005307,1
B11005309,0
B11005310,1
B11005311,1
B11005313,1
B11005315,1
B11005316,0
B11005317,1
B11005318,1
B11005319,1
B11005320,1
B11005321,2
B11005323,2
B11005324,2
B11005325,1
B11005327,1
B11005328,1
B11005329,1
B11005330,1
B11005331,1
B11005332,1
B11005334,1
B11005336,1
B11005340,1
B11005342,1
B11005344,1
B11005361,1
B11005386,1
B11005388,0
B11005390,1
B11005391,1
B11005395,2
B11005397,1
B11005418,1
B11005421,1
B11005422,1
B11005424,1
B11005426,1
B11005427,1
B11005428,1
B11005432,1
B11005435,1
B11005436,2
B11005438,1
B11005440,1
B11005441,0
B11005443,1
B11005446,1
B11005448,1
B11005450,1
B11005452,1
B11005455,1
B11005459,0
B11005462,1
B11005469,1
B11005477,0
B11005487,1
B11005497,1
B11005505,1
B11005510,1
B11005518,1
B11005519,1
B11005525,1
B11005526,1
B11005528,1
B11005529,1
B11005532,1
B11005534,1
B11005535,1
B11005538,1
B11005539,2
B11005541,0
B11005543,1
B11005546,0
B11005549,1
B11005552,1
B11005553,1
B11005554,1
B11005555,1
B11005556,1
B11005558,1
B11005559,1
B11005560,1
B11005561,1
B11005562,1
B11005563,1
B11005564,1
B11005565,1
B11005566,1
B11005568,1
B11005569,2
B11005570,1
B11005571,1
B11005572,1
B11005573,1
B11005575,1
B11005576,1
B11005577,1
B11005578,2
B11005579,1
B11005580,0
B11005582,1
B11005583,2
B11005584,1
B11005585,2
B11005586,1
B11005588,1
B11005589,1
B11005590,1
B11005591,2
B11005593,1
B11005594,1
B11005595,1
B11005596,1
B11005598,1
B11005599,1
B11005600,1
B11005601,1
B11005602,1
B11005603,1
B11005604,1
B11005605,1
B11005606,1
B11005607,1
B11005608,1
B11005609,1
B11005611,1
B11005612,1
B11005613,1
B11005614,0
B11005615,1
B11005616,1
B11005617,1
B11005618,0
B11005619,1
B11005620,1
B11005621,1
B11005622,1
B11005623,1
B11005624,1
B11005625,1
B11005626,1
B11005627,1
B11005628,1
B11005629,1
B11005630,1
B11005631,1
B11005632,1
B11005633,1
B11005634,2
B11005635,1
B11005636,1
B11005637,1
B11005639,1
B11005640,1
B11005641,1
B11005642,1
B11005643,1
B11005644,1
B11005645,0
B11005646,1
B11005648,2
B11005649,0
B11005650,1
B11005651,1
B11005652,1
B11005653,1
B11005654,1
B11005655,1
B11005656,1
B11005657,1
B11005658,1
B11005659,0
B11005660,1
B11005661,1
B11005662,1
B11005663,1
B11005664,1
B11005665,1
B11005666,2
B11005668,1
B11005669,1
B11005670,1
B11005671,1
B11005672,1
B11005674,1
B11005675,1
B11005676,2
B11005678,0
B11005679,2
B11005680,1
B11005682,1
B11005683,1
B11005684,1
B11005685,1
B11005686,1
B11005687,2
B11005688,1
B11005689,2
B11005690,2
B11005691,1
B11005692,1
B11005693,1
B11005694,1
B11005695,1
B11005696,1
B11005697,1
B11005698,1
B11005699,1
B11005700,1
B11005701,1
B11005702,1
B11005703,1
B11005704,1
B11005705,1
B11005706,1
B11005707,1
B11005708,1
B11005709,1
B11005710,1
B11005711,1
B11005712,1
B11005713,1
B11005714,2
B11005715,1
B11005716,2
B11005717,0
B11005718,1
B11005719,1
B11005720,1
B11005721,2
B11005722,1
B11005723,1
B11005724,2
B11005725,1
B11005726,1
B11005727,1
B11005728,1
B11005729,1
B11005730,1
B11005731,2
B11005732,0
B11005733,1
B11005734,1
B11005735,1
B11005737,2
B11005738,1
B11005739,1
B11005741,1
B11005742,1
B11005743,1
B11005744,1
B11005745,1
B11005746,0
B11005747,1
B11005749,1
B11005750,1
B11005764,0
B11005766,1
B11005768,1
B11005769,1
B11005770,1
B11005774,2
B11005777,0
B11005786,0
B11005790,1
B11005791,1
B11005793,1
B11005795,0
B11005796,1
B11005798,1
B11005801,1
B11005803,2
B11005805,2
B11005806,2
B11005807,1
B11005809,1
B11005810,2
B11005812,0
B11005814,1
B11005815,1
B11005816,0
B11005818,1
B11005819,0
B11005820,1
B11005821,1
B11005822,2
B11005823,1
B11005825,1
B11005826,1
B11005827,1
B11005829,1
B11005830,2
B11005832,1
B11005833,1
B11005835,1
B11005836,1
B11005838,1
B11005839,0
B11005840,2
B11005841,2
B11005842,1
B11005847,1
B11005850,2
B11005851,1
B11005852,1
B11005853,1
B11005854,1
B11005855,1
B11005856,1
B11005857,1
B11005858,0
B11005859,1
B11005860,1
B11005861,1
B11005862,1
B11005863,1
B11005864,1
B11005865,2
B11005866,1
B11005867,2
B11005868,1
B11005869,1
B11005870,0
B11005871,1
B11005872,0
B11005873,1
B11005874,2
B11005875,2
B11005876,1
B11005877,1
B11005878,0
B11005879,0
B11005880,1
B11005881,1
B11005882,1
B11005883,1
B11005884,1
B11005885,1
B11005886,1
B11005887,2
B11005888,1
B11005890,1
B11005891,1
B11005892,1
B11005893,1
B11005894,1
B11005895,1
B11005896,2
B11005897,1
B11005898,1
B11005899,2
B11005900,1
B11005901,1
B11005902,1
B11005903,1
B11005904,1
B11005905,0
B11005906,1
B11005907,0
B11005908,1
B11005909,1
B11005910,0
B11005911,0
B11005912,1
B11005913,1
B11005914,1
B11005915,1
B11005916,2
B11005917,1
B11005918,1
B11005919,1
B11005920,0
B11005921,1
B11005922,1
B11005923,1
B11005924,2
B11005925,1
B11005926,1
B11006058,0
B11006059,0
B11006060,0
B11006061,0
B11006062,0
B11006063,1
B11006064,0
B11006065,0
B11006066,0
B11006354,0
B11006355,2
