,0
B11000004,1
B11000005,1
B11000007,1
B11000008,1
B11000010,1
B11000012,0
B11000014,1
B11000015,1
B11000016,1
B11000017,1
B11000018,1
B11000019,1
B11000020,1
B11000021,0
B11000022,0
B11000024,1
B11000031,1
B11000032,0
B11000033,0
B11000034,0
B11000040,0
B11000041,0
B11000044,0
B11000050,0
B11000052,0
B11000053,0
B11000059,0
B11000060,0
B11000065,2
B11000069,0
B11000072,0
B11000073,0
B11000074,0
B11000085,0
B11000091,2
B11000093,0
B11000094,0
B11000095,0
B11000096,0
B11000097,0
B11000100,0
B11000102,0
B11000103,0
B11000105,0
B11000108,2
B11000112,0
B11000116,0
B11000117,0
B11000121,0
B11000124,0
B11000125,0
B11000127,0
